variant_status;respondent;mainline;variant;details
Detached;R2_3_1;SpigotMC/BungeeCord;PaperMC/Waterfall;I do not discuss, but I am not sure if other maintainers do
Detached;R2_4;obsproject/obs-studio;CoSMoSoftware/OBS-studio-webrtc;Mainline defines main directions of the project, variant follows mainline updates
Detached;R2_5;bsnes-emu/bsnes;libretro/bsnes-mercury;No, there has never been any discussion since the creation of the variant
Detached;R2_6;redis/redis;JohnSully/KeyDB;We’re in contact but rarely discuss
Detached;R2_7;lzzy12/python-aria-mirror-bot;magneto261290/magneto-python-aria;Yes, they still discuss the direction of the projects
Detached;R2_8;Baystation12/Baystation12;Aurorastation/Aurora.3;Technical solutions get swapped in both directions as osmosis. Creative decisions (since we're both games) are kept very separate, though.
Detached;R2_9;CloudburstMC/Nukkit;CloudburstMC/Server;No, there has never been any discussion since the creation of the variant
Attached;R2_10;m0ver/tinystruct-examples;tinystruct/tinystruct-examples;"Both of them are controlled by myself, just wanted to change the project path actually, but in the future I would keep to update it on the variant.
"
Attached;R11_1;JabRef/jabref;koppor/jabref;Yes, they still discuss the direction of the projects
Attached;R11_2;mmcgrana/gobyexample;golangit/gobyexample-it;No, there has never been any discussion since the creation of the variant
Attached;R11_3;desktop/desktop;shiftkey/desktop;Not really. I’m no longer contributing to the main project but I still keep in touch with the current contributors and support them however I can
Attached;R11_4;thinkle/gourmet;kirienko/gourmet;They used to discuss but not anymore since the projects have technically diverged from each other
Attached;R11_5;GiulioRossetti/ndlib;KDDComplexNetworkAnalysis/ndlib;The variant is only a mirror of the mainline
Attached;R11_6;kiprotect/klaro;empreinte-digitale/orejime;No, there has never been any discussion since the creation of the variant
Attached;R11_7;shurcooL/markdownfmt;Kunde21/markdownfmt;No, there has never been any discussion since the creation of the variant
Attached;R11_8;shimmerproject/Numix;Ferdi265/numix-solarized-gtk-theme;No, there has never been any discussion since the creation of the variant
Attached;R11_9;monero-project/monero;oxen-io/oxen-core;No, there has never been any discussion since the creation of the variant
Attached;R11_10;raylee/tldr-sh-client;pepa65/tldr-bash-client;No, there has never been any discussion since the creation of the variant
